Time,DriverNumber,LapTime,LapNumber,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound,TyreLife
0 days 00:36:40.753000,77,0 days 00:01:54.502000,6,0 days 00:35:15.221000,0 days 00:36:37.287000,0 days 00:00:48.130000,0 days 00:00:36.335000,0 days 00:00:30.037000,257.0,208.0,"",273.0,intermediate,2.0
0 days 00:50:36.678000,77,"",7,0 days 00:49:12.906000,"","",0 days 00:00:36.305000,0 days 00:00:28.753000,224.0,107.0,275.0,290.0,hard,5.0
0 days 00:51:49.665000,77,0 days 00:01:12.987000,8,"","",0 days 00:00:19.906000,0 days 00:00:31.668000,0 days 00:00:21.413000,266.0,236.0,283.0,297.0,hard,6.0
0 days 00:52:56.838000,77,0 days 00:01:07.173000,9,"","",0 days 00:00:17.134000,0 days 00:00:29.617000,0 days 00:00:20.422000,312.0,244.0,281.0,311.0,hard,7.0
0 days 00:54:03.743000,77,0 days 00:01:06.905000,10,"","",0 days 00:00:16.892000,0 days 00:00:29.497000,0 days 00:00:20.516000,302.0,239.0,284.0,306.0,hard,8.0
0 days 00:55:25.151000,77,0 days 00:01:21.408000,11,"","",0 days 00:00:18.257000,0 days 00:00:36.558000,0 days 00:00:26.593000,276.0,214.0,283.0,250.0,hard,9.0
0 days 00:56:36.841000,77,0 days 00:01:11.690000,12,"","",0 days 00:00:16.677000,0 days 00:00:32.374000,0 days 00:00:22.639000,312.0,225.0,282.0,312.0,hard,10.0
0 days 00:57:58.978000,77,0 days 00:01:22.137000,13,"",0 days 00:57:54.128000,0 days 00:00:16.731000,0 days 00:00:31.860000,0 days 00:00:33.546000,314.0,215.0,"",314.0,hard,11.0
0 days 01:04:44.068000,77,"",14,0 days 01:03:24.992000,"","",0 days 00:00:36.743000,0 days 00:00:24,294.0,196.0,283.0,287.0,soft,1.0
0 days 01:05:49.554000,77,0 days 00:01:05.486000,15,"","",0 days 00:00:16.529000,0 days 00:00:28.880000,0 days 00:00:20.077000,312.0,246.0,283.0,315.0,soft,2.0
0 days 01:07:10.451000,77,0 days 00:01:20.897000,16,"","",0 days 00:00:19.167000,0 days 00:00:37.212000,0 days 00:00:24.518000,271.0,177.0,284.0,268.0,soft,3.0
